status,y_pred_orig,row_idx,y_true,y_pred_cf,carbs_orig,carbs_cf,protein_orig,protein_cf,fat_orig,fat_cf
skip,144.5808702329491,0,121.35867998320136,,,,,,,
skip,114.71157833995674,1,152.0218630650733,,,,,,,
skip,126.50656459448632,2,138.40758185390513,,,,,,,
ok,145.65438058103396,3,137.99999999999997,138.96698957701022,70.0,69.99358428288059,0.0,0.0005415597774742764,30.0,29.849989987672444
skip,114.09295670867124,4,114.21421002956173,,,,,,,
skip,120.91461061785198,5,114.21421002956173,,,,,,,
ok,145.00219694052413,6,139.2060865445873,139.43396554419976,51.0,44.648341953864474,27.5,27.489234530603937,21.7,21.733251916301782
skip,133.199165025312,7,118.07843160508936,,,,,,,
skip,114.64823503849756,8,137.62819837137178,,,,,,,
ok,163.41307747807076,9,145.25575233904698,145.40613265088635,99.0,17.146850104654284,32.1,7.080364349748578,37.1,25.984530527033414
skip,132.42760783584401,10,158.70521327375064,,,,,,,
ok,148.26351253114535,11,211.51589201860185,140.02204756917806,25.7,17.101418576064354,0.0,1.0801587410072955,0.0,9.05323713680066
skip,109.23363614155818,12,105.02924015762346,,,,,,,
skip,134.69046311412663,13,133.38066219083976,,,,,,,
skip,124.92558080152007,14,130.18810581666355,,,,,,,
skip,130.58075063989781,15,158.1710016329844,,,,,,,
skip,136.46988815736373,16,133.0,,,,,,,
skip,134.11613544617666,17,109.09119527950205,,,,,,,
skip,131.09714409615725,18,133.81224607081035,,,,,,,
skip,127.6119072801702,19,131.16302616457182,,,,,,,
skip,139.0878643180182,20,162.12175897616171,,,,,,,
ok,158.6197866813795,21,152.0,140.4530444611671,82.7,15.537950263458473,29.4,25.089338514297722,29.0,26.044081445096538
ok,151.34339906551497,22,167.00000000000003,140.22574386903653,45.5,21.3981109912214,15.5,16.35443168104257,15.1,20.80578623030118
skip,104.6488553527672,23,127.20415070865717,,,,,,,
skip,133.28615842731827,24,161.91863194505893,,,,,,,
skip,126.9507542244364,25,159.7643398830904,,,,,,,
ok,146.86129394270233,26,153.28124695719316,138.2272467926209,26.7,17.14390804295092,15.2,15.139252025418656,19.1,20.475928604158355
skip,126.92564750638843,27,155.37307123579592,,,,,,,
skip,140.31546904736825,28,148.04635409176393,,,,,,,
skip,141.43473567520914,29,183.5172185505385,,,,,,,
ok,147.7190373347365,30,121.73090004172272,139.57238910538067,28.3,28.297339218308068,47.0,46.92287152533484,8.1,8.950058986151333
skip,134.87264528107016,31,119.14365119663088,,,,,,,
skip,136.02237534525506,32,142.55903148893032,,,,,,,
skip,137.86367340580145,33,128.02489312317974,,,,,,,
ok,148.33136111108018,34,160.03103547169124,139.81479514614594,88.7,72.49476099297723,10.2,10.184338820805849,13.7,15.100482030996943
skip,123.6600868937331,35,106.03630015287898,,,,,,,
ok,156.97642356470195,36,137.42560417273972,139.5708384789529,112.0,44.6499224603287,33.0,35.56348611526299,42.0,37.49781507871458
skip,117.51674476555905,37,101.31719813931248,,,,,,,
skip,128.41232067596587,38,115.35615546640956,,,,,,,
skip,126.11148437286894,39,115.35615546640956,,,,,,,
skip,116.92619311327863,40,111.22741520906024,,,,,,,
skip,123.31968653190825,41,116.01462955899328,,,,,,,
skip,114.81491064225311,42,121.05173025744652,,,,,,,
skip,130.09095832236744,43,135.75570902055816,,,,,,,
